"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"24487",2015-02-11,"67","58","48","54","51","47","100","74","48","30.19","30.14","30.11","10","10","10","9","2","13","0.00","4","","204<br />","San Francisco (CA)","Winter"
"24488",2015-02-12,"73","62","51","58","53","49","100","74","47","30.21","30.16","30.13","10","10","10","8","2","10","0.00","4","","128<br />","San Francisco (CA)","Winter"
"24489",2015-02-13,"69","61","52","59","56","52","100","79","58","30.16","30.10","30.06","10","10","9","13","4","14","0.00","2","","7<br />","San Francisco (CA)","Winter"
"24490",2015-02-14,"73","63","52","59","56","53","100","79","57","30.12","30.07","30.02","10","10","10","9","3","9","0.00","1","","40<br />","San Francisco (CA)","Winter"
"24491",2015-02-15,"75","63","51","60","52","46","100","71","41","30.06","30.01","29.96","10","10","10","7","1","23","0.00","2","","73<br />","San Francisco (CA)","Winter"
"24492",2015-02-16,"68","60","51","58","54","47","100","84","68","30.04","30.00","29.96","10","9","7","24","7","26","0.00","3","Fog","292<br />","San Francisco (CA)","Winter"
"24493",2015-02-17,"59","56","53","54","52","48","100","88","75","30.19","30.13","30.05","10","8","5","13","7","14","0.00","8","","246<br />","San Francisco (CA)","Winter"
"24494",2015-02-18,"64","59","54","56","52","48","100","86","72","30.23","30.18","30.12","10","10","9","20","7","24","0.00","4","","295<br />","San Francisco (CA)","Winter"
"24495",2015-02-19,"62","58","54","57","55","53","100","92","84","30.17","30.12","30.06","10","9","5","20","6","23","0.00","6","","266<br />","San Francisco (CA)","Winter"
"24496",2015-02-20,"68","61","54","57","55","51","100","82","63","30.09","30.02","29.94","10","8","3","17","5","18","0.00","5","","52<br />","San Francisco (CA)","Winter"
"24497",2015-02-21,"67","58","49","56","51","48","100","78","56","29.97","29.91","29.84","10","10","4","15","3","18","0.00","2","","257<br />","San Francisco (CA)","Winter"
"24498",2015-02-22,"65","57","49","54","43","33","100","67","34","29.90","29.86","29.84","10","10","9","26","11","32","0.00","2","","332<br />","San Francisco (CA)","Winter"
"24499",2015-02-23,"63","58","53","44","32","25","71","51","30","30.24","30.07","29.90","10","10","10","24","12","30","0.00","1","","352<br />","San Francisco (CA)","Winter"
"24500",2015-02-24,"66","55","44","52","40","26","86","60","33","30.36","30.31","30.26","10","10","10","17","7","21","0.00","1","","269<br />","San Francisco (CA)","Winter"
"24501",2015-02-25,"65","57","49","54","51","49","96","82","67","30.30","30.21","30.09","10","10","8","24","7","29","0.00","3","","248<br />","San Francisco (CA)","Winter"
"24502",2015-02-26,"67","59","50","56","53","50","100","82","63","30.08","30.01","29.93","10","10","7","29","12","36","0.00","4","","272<br />","San Francisco (CA)","Winter"
"24503",2015-02-27,"62","58","53","55","51","46","100","80","60","29.93","29.84","29.76","10","10","10","37","20","44","T","4","Rain","282<br />","San Francisco (CA)","Winter"
"24504",2015-02-28,"62","56","50","51","47","44","100","79","57","29.92","29.80","29.73","10","10","7","24","8","28","T","4","Rain-Thunderstorm","297<br />","San Francisco (CA)","Winter"
"24505",2015-03-01,"65","57","48","52","45","35","100","70","39","30.01","29.95","29.92","10","10","10","21","7","24","0.00","1","","239<br />","San Francisco (CA)","Winter"
"24506",2015-03-02,"61","56","50","50","46","43","89","70","51","29.99","29.87","29.81","10","10","10","18","7","24","0.00","4","","239<br />","San Francisco (CA)","Winter"
"24507",2015-03-03,"64","56","47","52","49","45","96","78","60","30.06","30.01","29.98","10","10","10","22","7","24","0.00","2","","268<br />","San Francisco (CA)","Winter"
"24508",2015-03-04,"66","56","46","49","44","38","86","65","43","30.23","30.13","30.04","10","10","10","12","5","","0.00","1","","289<br />","San Francisco (CA)","Winter"
"24509",2015-03-05,"68","58","47","55","45","36","86","61","36","30.35","30.29","30.24","10","10","10","10","3","","0.00","0","","326<br />","San Francisco (CA)","Winter"
"24510",2015-03-06,"72","60","48","53","46","40","93","66","38","30.30","30.23","30.14","10","10","10","17","7","","0.00","0","","280<br />","San Francisco (CA)","Winter"
"24511",2015-03-07,"73","61","48","54","50","42","100","74","47","30.14","30.08","30.01","10","10","10","21","8","25","0.00","0","","306<br />","San Francisco (CA)","Winter"
"24512",2015-03-08,"65","57","48","54","52","47","100","84","67","30.12","30.06","30.00","10","10","9","28","13","31","0.00","4","","298<br />","San Francisco (CA)","Winter"
"24513",2015-03-09,"66","59","51","55","52","50","100","84","67","30.07","30.00","29.93","10","10","8","21","10","24","0.00","5","","291<br />","San Francisco (CA)","Winter"
"24514",2015-03-10,"62","56","50","57","53","51","100","89","78","30.02","29.96","29.93","10","7","2","26","8","32","0.00","7","","283<br />","San Francisco (CA)","Winter"
"24515",2015-03-11,"68","62","55","58","55","46","100","76","52","30.26","30.13","30.00","10","10","7","15","6","22","0.02","5","Rain","270<br />","San Francisco (CA)","Winter"
"24516",2015-03-12,"72","62","52","57","54","52","100","77","53","30.28","30.21","30.14","10","10","8","20","7","22","0.00","4","","289<br />","San Francisco (CA)","Winter"
"24517",2015-03-13,"74","64","53","60","55","48","100","76","52","30.19","30.13","30.08","10","10","9","23","6","25","0.00","6","","307<br />","San Francisco (CA)","Winter"
"24518",2015-03-14,"83","70","57","62","54","41","100","63","25","30.12","30.05","29.96","10","10","10","15","5","17","0.00","5","","16<br />","San Francisco (CA)","Winter"
"24519",2015-03-15,"71","65","59","57","49","40","93","65","36","30.10","30.04","29.98","10","10","10","21","10","23","0.00","6","","257<br />","San Francisco (CA)","Winter"
"24520",2015-03-16,"69","63","57","59","55","51","100","79","58","30.06","30.03","30.01","10","10","10","15","6","18","0.00","6","","298<br />","San Francisco (CA)","Winter"
"24521",2015-03-17,"65","59","53","55","52","48","100","78","56","30.14","30.09","30.05","10","10","10","30","18","37","0.00","4","","274<br />","San Francisco (CA)","Winter"
"24522",2015-03-18,"69","60","51","53","52","49","100","75","49","30.08","30.05","30.01","10","10","10","25","10","29","0.00","1","","284<br />","San Francisco (CA)","Winter"
"24523",2015-03-19,"74","62","50","59","52","49","100","73","46","30.07","30.05","29.99","10","10","9","22","8","25","0.00","3","","303<br />","San Francisco (CA)","Winter"
"24524",2015-03-20,"71","62","52","57","51","37","93","61","29","30.17","30.11","30.05","10","10","10","23","9","29","0.00","4","","273<br />","San Francisco (CA)","Spring"
"24525",2015-03-21,"73","65","56","59","57","53","100","77","53","30.19","30.15","30.10","10","10","9","23","8","26","0.00","7","","299<br />","San Francisco (CA)","Spring"
"24526",2015-03-22,"67","61","55","58","55","49","100","80","60","30.20","30.16","30.13","10","10","10","20","8","23","0.04","6","Rain","220<br />","San Francisco (CA)","Spring"
"24527",2015-03-23,"65","60","55","58","50","42","100","74","48","30.32","30.27","30.20","10","10","10","23","11","26","T","6","Rain","265<br />","San Francisco (CA)","Spring"
"24528",2015-03-24,"65","59","53","57","54","51","93","80","67","30.32","30.28","30.24","10","10","10","26","11","32","0.00","5","","282<br />","San Francisco (CA)","Spring"
"24529",2015-03-25,"72","62","52","56","54","51","100","77","53","30.25","30.20","30.16","10","10","10","25","10","30","0.00","1","","286<br />","San Francisco (CA)","Spring"
"24530",2015-03-26,"79","66","52","60","55","50","100","73","45","30.18","30.12","30.05","10","10","10","21","7","24","0.00","0","","314<br />","San Francisco (CA)","Spring"
"24531",2015-03-27,"63","58","52","56","55","52","100","89","78","30.18","30.14","30.09","10","10","10","30","18","36","0.00","2","","279<br />","San Francisco (CA)","Spring"
"24532",2015-03-28,"74","63","52","55","51","45","100","70","40","30.20","30.14","30.08","10","10","9","26","12","31","0.00","2","","276<br />","San Francisco (CA)","Spring"
"24533",2015-03-29,"71","61","50","55","52","49","96","72","47","30.13","30.08","30.01","10","10","7","26","10","31","0.00","1","","294<br />","San Francisco (CA)","Spring"
"24534",2015-03-30,"64","58","52","53","52","47","100","82","63","30.09","30.06","30.02","10","10","9","32","18","39","0.00","4","","273<br />","San Francisco (CA)","Spring"
"24535",2015-03-31,"65","59","53","56","50","44","100","76","52","30.21","30.15","30.09","10","10","10","36","22","41","0.00","3","","277<br />","San Francisco (CA)","Spring"
"24536",2015-04-01,"64","57","49","49","44","37","83","63","42","30.21","30.15","30.09","10","10","10","30","16","38","0.00","2","","272<br />","San Francisco (CA)","Spring"
"24537",2015-04-02,"68","59","49","48","41","36","83","59","34","30.22","30.17","30.14","10","10","10","25","14","31","0.00","1","","292<br />","San Francisco (CA)","Spring"
"24538",2015-04-03,"65","57","48","48","45","43","93","71","48","30.23","30.18","30.12","10","10","10","31","14","37","0.00","0","","281<br />","San Francisco (CA)","Spring"
"24539",2015-04-04,"63","57","50","49","46","41","89","69","48","30.12","30.05","29.98","10","10","10","35","19","41","0.00","3","","272<br />","San Francisco (CA)","Spring"
"24540",2015-04-05,"59","54","48","52","46","41","100","77","53","29.99","29.93","29.91","10","9","3","22","8","25","0.11","5","Rain","230<br />","San Francisco (CA)","Spring"
"24541",2015-04-06,"63","55","46","47","44","39","93","68","43","29.98","29.93","29.84","10","10","10","23","11","28","0.00","5","","172<br />","San Francisco (CA)","Spring"
"24542",2015-04-07,"61","56","50","53","47","41","100","75","49","30.06","29.91","29.77","10","9","5","29","14","39","0.59","6","Rain","235<br />","San Francisco (CA)","Spring"
"24543",2015-04-08,"63","57","50","53","49","44","96","76","55","30.19","30.13","30.07","10","10","10","20","8","24","0.06","3","Rain","296<br />","San Francisco (CA)","Spring"
"24544",2015-04-09,"66","58","49","53","48","42","100","74","48","30.09","30.02","29.96","10","10","10","21","7","23","0.00","3","","293<br />","San Francisco (CA)","Spring"
"24545",2015-04-10,"65","57","49","52","47","41","100","73","46","30.07","30.03","29.99","10","10","10","22","10","26","0.00","1","","284<br />","San Francisco (CA)","Spring"
"24546",2015-04-11,"69","60","51","56","50","46","100","73","45","30.09","30.05","30.02","10","10","10","32","15","38","0.00","3","","276<br />","San Francisco (CA)","Spring"
"24547",2015-04-12,"74","63","51","56","52","46","100","74","47","30.06","30.02","29.96","10","10","9","22","10","26","0.00","1","","299<br />","San Francisco (CA)","Spring"
"24548",2015-04-13,"62","57","51","56","51","46","100","78","56","30.18","30.10","30.02","10","10","10","28","16","36","T","4","","271<br />","San Francisco (CA)","Spring"
"24549",2015-04-14,"63","57","50","45","39","31","77","55","32","30.36","30.29","30.19","10","10","10","30","15","36","0.00","1","","289<br />","San Francisco (CA)","Spring"
"24550",2015-04-15,"69","59","48","46","40","33","86","58","29","30.24","30.13","30.03","10","10","10","25","12","29","0.00","1","","305<br />","San Francisco (CA)","Spring"
"24551",2015-04-16,"80","66","51","50","38","29","59","39","19","30.06","30.02","29.99","10","10","9","25","9","30","0.00","0","","312<br />","San Francisco (CA)","Spring"
"24552",2015-04-17,"70","61","51","52","49","38","100","71","42","30.10","30.06","30.02","10","10","9","25","11","29","0.00","1","","294<br />","San Francisco (CA)","Spring"
"24553",2015-04-18,"67","58","49","53","51","46","100","82","63","30.07","30.01","29.92","10","10","8","22","10","26","0.00","2","","298<br />","San Francisco (CA)","Spring"
"24554",2015-04-19,"64","58","51","54","52","51","100","84","67","29.99","29.94","29.89","10","10","10","23","10","28","0.00","4","","300<br />","San Francisco (CA)","Spring"
"24555",2015-04-20,"68","61","53","54","52","49","100","79","58","29.91","29.88","29.85","10","10","10","20","9","24","0.00","5","","260<br />","San Francisco (CA)","Spring"
"24556",2015-04-21,"59","57","54","54","52","50","100","89","77","29.93","29.89","29.86","10","10","10","21","10","25","0.00","7","","228<br />","San Francisco (CA)","Spring"
"24557",2015-04-22,"65","59","52","53","51","48","100","82","63","29.91","29.88","29.85","10","10","8","23","8","26","0.00","6","","270<br />","San Francisco (CA)","Spring"
"24558",2015-04-23,"67","59","51","59","48","44","100","74","48","29.91","29.89","29.86","10","10","8","37","13","41","0.00","4","","228<br />","San Francisco (CA)","Spring"
"24559",2015-04-24,"63","58","52","53","47","42","89","69","48","30.05","29.98","29.90","10","10","7","37","18","44","0.12","6","Rain","259<br />","San Francisco (CA)","Spring"
"24560",2015-04-25,"61","57","52","54","49","43","93","77","60","30.08","29.97","29.90","10","9","4","37","23","45","0.29","6","Rain","265<br />","San Francisco (CA)","Spring"
"24561",2015-04-26,"67","59","51","49","46","42","83","64","44","30.17","30.11","30.07","10","10","10","31","16","38","0.00","3","","274<br />","San Francisco (CA)","Spring"
"24562",2015-04-27,"80","66","52","57","50","47","89","65","40","30.06","30.01","29.94","10","10","10","30","12","35","0.00","3","","288<br />","San Francisco (CA)","Spring"
"24563",2015-04-28,"64","58","52","50","49","48","89","75","60","30.08","30.04","30.01","10","10","10","30","15","35","0.00","6","","269<br />","San Francisco (CA)","Spring"
"24564",2015-04-29,"68","60","51","49","46","44","83","68","52","30.04","29.99","29.90","10","10","8","25","13","31","0.00","2","","275<br />","San Francisco (CA)","Spring"
"24565",2015-04-30,"88","70","52","54","45","38","77","49","21","29.90","29.84","29.78","10","10","10","21","6","23","0.00","1","","285<br />","San Francisco (CA)","Spring"
"24566",2015-05-01,"75","65","54","57","51","47","86","68","49","29.91","29.86","29.81","10","10","9","24","10","29","0.00","1","","307<br />","San Francisco (CA)","Spring"
"24567",2015-05-02,"67","60","53","51","49","46","89","73","56","29.91","29.87","29.83","10","10","10","22","9","28","0.00","3","","303<br />","San Francisco (CA)","Spring"
"24568",2015-05-03,"65","59","52","50","47","45","83","68","52","29.94","29.89","29.86","10","10","10","17","9","23","0.00","3","","223<br />","San Francisco (CA)","Spring"
"24569",2015-05-04,"61","57","52","47","46","45","83","73","62","30.00","29.98","29.94","10","10","10","23","12","29","0.00","7","","247<br />","San Francisco (CA)","Spring"
"24570",2015-05-05,"62","57","52","46","45","44","83","69","55","29.99","29.95","29.91","10","10","9","24","14","35","0.00","5","","245<br />","San Francisco (CA)","Spring"
"24571",2015-05-06,"66","59","51","48","45","43","77","63","48","29.92","29.87","29.81","10","10","8","30","15","37","0.00","2","","266<br />","San Francisco (CA)","Spring"
"24572",2015-05-07,"68","59","50","46","44","39","80","59","37","29.81","29.77","29.74","10","10","9","22","10","26","0.00","4","","276<br />","San Francisco (CA)","Spring"
"24573",2015-05-08,"68","59","50","50","47","43","77","63","49","30.05","29.89","29.77","10","10","9","21","9","25","0.00","1","","286<br />","San Francisco (CA)","Spring"
"24574",2015-05-09,"65","59","52","49","47","46","83","70","56","30.12","30.09","30.05","10","10","10","24","12","28","0.00","6","","260<br />","San Francisco (CA)","Spring"
"24575",2015-05-10,"62","57","52","48","47","46","83","72","60","30.10","30.06","29.99","10","10","10","23","13","29","0.00","6","","256<br />","San Francisco (CA)","Spring"
"24576",2015-05-11,"62","57","52","48","46","44","89","73","57","29.99","29.95","29.88","10","10","10","36","23","41","0.00","4","","261<br />","San Francisco (CA)","Spring"
"24577",2015-05-12,"62","57","51","45","44","40","77","60","43","29.98","29.95","29.88","10","10","10","36","24","43","0.00","3","","272<br />","San Francisco (CA)","Spring"
"24578",2015-05-13,"65","59","52","49","44","41","77","61","44","29.99","29.95","29.91","10","10","10","21","12","25","0.00","6","","249<br />","San Francisco (CA)","Spring"
"24579",2015-05-14,"65","60","55","49","47","44","77","63","48","29.90","29.84","29.80","10","10","10","21","8","24","0.00","6","","218<br />","San Francisco (CA)","Spring"
"24580",2015-05-15,"62","58","53","48","47","46","83","72","60","29.97","29.93","29.86","10","10","10","30","15","38","0.00","6","","258<br />","San Francisco (CA)","Spring"
"24581",2015-05-16,"61","58","54","49","48","47","83","74","64","30.04","30.00","29.95","10","10","10","22","13","28","0.00","7","","254<br />","San Francisco (CA)","Spring"
"24582",2015-05-17,"62","59","55","49","48","47","77","69","60","30.07","30.04","30.01","10","10","10","20","12","25","0.00","7","","261<br />","San Francisco (CA)","Spring"
"24583",2015-05-18,"60","58","55","49","48","46","77","72","67","30.12","30.08","30.04","10","10","10","22","13","26","0.00","8","","265<br />","San Francisco (CA)","Spring"
"24584",2015-05-19,"63","59","55","49","48","47","77","69","60","30.12","30.08","30.01","10","10","10","23","12","29","T","7","","264<br />","San Francisco (CA)","Spring"
"24585",2015-05-20,"62","59","55","50","49","48","83","74","64","30.00","29.97","29.94","10","10","10","18","10","24","T","8","","250<br />","San Francisco (CA)","Spring"
"24586",2015-05-21,"67","61","55","54","52","50","93","76","58","29.99","29.95","29.93","10","10","6","21","9","25","0.01","7","","252<br />","San Francisco (CA)","Spring"
"24587",2015-05-22,"64","60","56","52","51","48","86","75","64","30.08","30.03","29.99","10","10","10","21","12","28","0.01","7","","265<br />","San Francisco (CA)","Spring"
"24588",2015-05-23,"63","59","54","52","49","48","89","75","60","30.11","30.08","30.04","10","10","9","30","14","36","0.00","7","","252<br />","San Francisco (CA)","Spring"
"24589",2015-05-24,"61","56","51","50","49","46","89","77","64","30.06","30.02","29.98","10","10","9","22","10","30","0.00","6","","251<br />","San Francisco (CA)","Spring"
"24590",2015-05-25,"64","59","53","50","49","48","89","75","60","30.01","29.98","29.96","10","10","7","22","12","28","T","7","","257<br />","San Francisco (CA)","Spring"
"24591",2015-05-26,"65","60","54","51","49","48","93","75","56","30.03","30.00","29.98","10","10","9","21","10","29","T","6","","243<br />","San Francisco (CA)","Spring"
"24592",2015-05-27,"64","59","53","52","49","47","89","73","56","30.04","30.02","30.00","10","10","10","26","13","36","0.00","6","","261<br />","San Francisco (CA)","Spring"
"24593",2015-05-28,"62","57","52","52","50","48","89","77","64","30.07","30.03","30.00","10","10","10","26","15","31","0.00","7","","270<br />","San Francisco (CA)","Spring"
"24594",2015-05-29,"62","58","53","51","50","48","89","77","65","30.02","29.98","29.94","10","10","10","26","13","32","0.00","6","","272<br />","San Francisco (CA)","Spring"
"24595",2015-05-30,"64","58","52","52","50","48","89","78","67","29.99","29.95","29.91","10","10","10","28","13","31","0.00","6","","283<br />","San Francisco (CA)","Spring"
"24596",2015-05-31,"67","60","53","49","48","47","83","70","56","29.98","29.94","29.92","10","10","10","26","13","31","0.00","6","","259<br />","San Francisco (CA)","Spring"
"24597",2015-06-01,"74","66","58","57","54","48","84","66","47","30.07","30.02","29.96","10","10","9","22","9","26","0.00","6","","226<br />","San Francisco (CA)","Spring"
"24598",2015-06-02,"65","61","56","55","52","50","87","75","63","30.09","30.04","29.98","10","10","9","29","15","33","0.00","6","","269<br />","San Francisco (CA)","Spring"
"24599",2015-06-03,"65","60","55","52","50","48","86","73","60","29.97","29.94","29.87","10","10","10","26","16","36","0.00","5","","262<br />","San Francisco (CA)","Spring"
"24600",2015-06-04,"70","62","54","52","50","48","83","69","55","29.86","29.84","29.81","10","10","9","22","10","26","0.00","4","","277<br />","San Francisco (CA)","Spring"
"24601",2015-06-05,"73","64","54","56","52","48","86","72","57","29.86","29.82","29.79","10","10","9","21","7","23","0.00","3","","331<br />","San Francisco (CA)","Spring"
"24602",2015-06-06,"74","66","57","56","54","51","86","72","57","29.93","29.89","29.85","10","10","10","20","7","23","0.00","5","","314<br />","San Francisco (CA)","Spring"
"24603",2015-06-07,"71","63","55","55","53","51","86","72","57","29.93","29.89","29.83","10","10","10","25","13","31","0.00","4","","298<br />","San Francisco (CA)","Spring"
"24604",2015-06-08,"84","70","55","61","53","51","86","60","34","29.88","29.84","29.76","10","10","10","28","12","30","0.00","1","","301<br />","San Francisco (CA)","Spring"
"24605",2015-06-09,"79","67","54","59","55","52","100","77","53","29.92","29.88","29.83","10","10","10","22","9","25","0.00","5","","312<br />","San Francisco (CA)","Spring"
"24606",2015-06-10,"68","62","56","62","57","55","93","83","73","29.94","29.90","29.88","10","10","8","20","10","23","0.26","7","Rain","297<br />","San Francisco (CA)","Spring"
"24607",2015-06-11,"71","63","54","59","55","53","100","81","61","29.92","29.87","29.81","10","7","2","22","12","26","0.00","4","","304<br />","San Francisco (CA)","Spring"
"24608",2015-06-12,"73","64","55","57","55","53","93","71","49","29.85","29.80","29.74","10","10","7","24","12","33","0.00","1","","303<br />","San Francisco (CA)","Spring"
"24609",2015-06-13,"77","67","56","59","55","52","93","71","49","29.79","29.77","29.74","10","10","8","17","8","24","0.00","1","","306<br />","San Francisco (CA)","Spring"
"24610",2015-06-14,"70","62","53","52","50","48","89","73","56","29.88","29.82","29.76","10","10","8","24","13","29","0.00","2","","274<br />","San Francisco (CA)","Spring"
